"number" "dsum" "count" "missing" "quant_error" "fname"
85 22.0 22 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Dendromus_vernayi.tif"
86 19.0 19 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Dendroprionomys_rousseloti.tif"
87 7393.0 7393 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Reptilia_Denisonia_maculata.tif"
88 84971.0 84971 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Diclidurus_ingens.tif"
89 436.0 436 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Dicrostonyx_vinogradovi.tif"
90 16.0 16 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Diomys_crumpi.tif"
91 27.0 27 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Diplomys_caniceps.tif"
92 1548.0 1548 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Dryomys_laniger.tif"
93 83.0 83 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Chaetocauda_sichuanensis.tif"
94 16156.0 16156 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Phyllomys_lamarum.tif"
95 5456.0 5456 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Echimys_saturnus.tif"
96 44.0 44 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Echymipera_echinista.tif"
97 5207.0 5207 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Elephantulus_revoilii.tif"
98 155.0 155 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Ellobius_alaicus.tif"
99 1777.0 1777 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Eothenomys_proditor.tif"
100 36.0 36 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Epomophorus_grandis.tif"
101 26300.0 26300 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Eptesicus_bobrinskoi.tif"
102 201.0 201 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Eptesicus_dimissus.tif"
103 83.0 83 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Eptesicus_kobayashii.tif"
104 65.0 65 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Eptesicus_platyops.tif"
105 61.0 61 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Eptesicus_tatei.tif"
106 50117.0 50117 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Eumops_maurus.tif"
107 2503.0 2503 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Euneomys_chinchilloides.tif"
108 291.0 291 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Euroscaptor_parvidens.tif"
109 28872.0 28872 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Exilisciurus_exilis.tif"
110 15780.0 15780 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Funisciurus_bayonii.tif"
111 9318.0 9318 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Funisciurus_substriatus.tif"
112 12008.0 12008 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Reptilia_Furina_dunmalli.tif"
113 2169.0 2169 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Galenomys_garleppi.tif"
114 20687.0 20687 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Genetta_abyssinica.tif"
115 995.0 995 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_acticola.tif"
116 32.0 32 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_muriculus.tif"
117 72046.0 72046 19585955 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Gerbillus_nancillus.tif"
