rank,remaining_area,remaining_cost,mean,max,min,mean_positive,weighted_mean_positive,max_positive,min_positive
0.01378,2301571,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01388,2301338,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01398,2301105,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01408,2300872,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01418,2300639,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01428,2300406,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01438,2300173,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01448,2299940,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01458,2299707,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01468,2299474,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01478,2299241,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01488,2299008,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01498,2298775,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01508,2298542,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01518,2298309,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01528,2298076,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01538,2297843,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01548,2297610,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01558,2297377,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01567,2297144,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01577,2296911,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01587,2296678,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01597,2296445,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01607,2296212,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01617,2295979,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01627,2295746,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01637,2295513,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01647,2295280,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01657,2295047,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01667,2294814,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01677,2294581,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01687,2294348,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01697,2294115,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01707,2293882,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01717,2293649,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01727,2293416,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01737,2293183,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01747,2292950,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01757,2292717,0,0.9999,1,0.8699,0.9999,0.9999,1,0.8699
0.01767,2292484,0,0.9999,1,0.8688,0.9999,0.9999,1,0.8688
0.01777,2292251,0,0.9999,1,0.8674,0.9999,0.9999,1,0.8674
0.01787,2292018,0,0.9999,1,0.8661,0.9999,0.9999,1,0.8661
0.01797,2291785,0,0.9999,1,0.8647,0.9999,0.9999,1,0.8647
0.01807,2291552,0,0.9999,1,0.8633,0.9999,0.9999,1,0.8633
0.01817,2291319,0,0.9999,1,0.862,0.9999,0.9999,1,0.862
0.01827,2291086,0,0.9999,1,0.8606,0.9999,0.9999,1,0.8606
0.01837,2290853,0,0.9999,1,0.8593,0.9999,0.9999,1,0.8593
0.01847,2290620,0,0.9999,1,0.8579,0.9999,0.9999,1,0.8579
0.01857,2290387,0,0.9999,1,0.8566,0.9999,0.9999,1,0.8566
0.01867,2290154,0,0.9999,1,0.8552,0.9999,0.9999,1,0.8552
0.01877,2289921,0,0.9999,1,0.8538,0.9999,0.9999,1,0.8538
0.01887,2289688,0,0.9999,1,0.8525,0.9999,0.9999,1,0.8525
0.01897,2289455,0,0.9999,1,0.8511,0.9999,0.9999,1,0.8511
0.01907,2289222,0,0.9999,1,0.8498,0.9999,0.9999,1,0.8498
0.01917,2288989,0,0.9999,1,0.8484,0.9999,0.9999,1,0.8484
0.01927,2288756,0,0.9999,1,0.8471,0.9999,0.9999,1,0.8471
0.01937,2288523,0,0.9999,1,0.8457,0.9999,0.9999,1,0.8457
0.01947,2288290,0,0.9999,1,0.8444,0.9999,0.9999,1,0.8444
0.01957,2288057,0,0.9999,1,0.843,0.9999,0.9999,1,0.843
0.01967,2287824,0,0.9999,1,0.8416,0.9999,0.9999,1,0.8416
0.01977,2287591,0,0.9999,1,0.8403,0.9999,0.9999,1,0.8403
0.01987,2287358,0,0.9998,1,0.8389,0.9998,0.9999,1,0.8389
0.01997,2287125,0,0.9998,1,0.8376,0.9998,0.9999,1,0.8376
0.02007,2286892,0,0.9998,1,0.8362,0.9998,0.9999,1,0.8362
0.02017,2286659,0,0.9998,1,0.8349,0.9998,0.9999,1,0.8349
0.02027,2286426,0,0.9998,1,0.8335,0.9998,0.9999,1,0.8335
0.02037,2286193,0,0.9998,1,0.8322,0.9998,0.9999,1,0.8322
0.02047,2285960,0,0.9998,1,0.8308,0.9998,0.9999,1,0.8308
0.02057,2285727,0,0.9998,1,0.8294,0.9998,0.9999,1,0.8294
0.02067,2285494,0,0.9998,1,0.8281,0.9998,0.9999,1,0.8281
0.02077,2285261,0,0.9998,1,0.8267,0.9998,0.9999,1,0.8267
0.02087,2285028,0,0.9998,1,0.8254,0.9998,0.9999,1,0.8254
0.02097,2284795,0,0.9998,1,0.824,0.9998,0.9999,1,0.824
0.02107,2284562,0,0.9998,1,0.8232,0.9998,0.9999,1,0.8232
0.02117,2284329,0,0.9998,1,0.8224,0.9998,0.9999,1,0.8224
0.02127,2284096,0,0.9998,1,0.8216,0.9998,0.9999,1,0.8216
0.02137,2283863,0,0.9998,1,0.8208,0.9998,0.9999,1,0.8208
0.02147,2283630,0,0.9998,1,0.82,0.9998,0.9999,1,0.82
0.02157,2283397,0,0.9998,1,0.8192,0.9998,0.9999,1,0.8192
0.02167,2283164,0,0.9998,1,0.8184,0.9998,0.9999,1,0.8184
0.02177,2282931,0,0.9998,1,0.8175,0.9998,0.9999,1,0.8175
0.02187,2282698,0,0.9998,1,0.8167,0.9998,0.9999,1,0.8167
0.02196,2282465,0,0.9998,1,0.816,0.9998,0.9999,1,0.816
0.02206,2282232,0,0.9998,1,0.8155,0.9998,0.9999,1,0.8155
0.02216,2281999,0,0.9998,1,0.815,0.9998,0.9999,1,0.815
0.02226,2281766,0,0.9998,1,0.8145,0.9998,0.9999,1,0.8145
0.02236,2281533,0,0.9998,1,0.814,0.9998,0.9999,1,0.814
0.02246,2281300,0,0.9998,1,0.8135,0.9998,0.9999,1,0.8135
0.02256,2281067,0,0.9998,1,0.813,0.9998,0.9999,1,0.813
0.02266,2280834,0,0.9998,1,0.8125,0.9998,0.9999,1,0.8125
0.02276,2280601,0,0.9998,1,0.812,0.9998,0.9999,1,0.812
0.02286,2280368,0,0.9998,1,0.8115,0.9998,0.9999,1,0.8115
0.02296,2280135,0,0.9998,1,0.811,0.9998,0.9999,1,0.811
0.02306,2279902,0,0.9998,1,0.8105,0.9998,0.9999,1,0.8105
0.02316,2279669,0,0.9998,1,0.81,0.9998,0.9998,1,0.81
0.02326,2279436,0,0.9998,1,0.8095,0.9998,0.9998,1,0.8095
0.02336,2279203,0,0.9998,1,0.809,0.9998,0.9998,1,0.809
0.02346,2278970,0,0.9998,1,0.8085,0.9998,0.9998,1,0.8085
0.02356,2278737,0,0.9998,1,0.808,0.9998,0.9998,1,0.808
0.02366,2278504,0,0.9998,1,0.8075,0.9998,0.9998,1,0.8075
0.02376,2278271,0,0.9998,1,0.8069,0.9998,0.9998,1,0.8069
0.02386,2278038,0,0.9998,1,0.8061,0.9998,0.9998,1,0.8061
0.02396,2277805,0,0.9998,1,0.8053,0.9998,0.9998,1,0.8053
0.02406,2277572,0,0.9998,1,0.8044,0.9998,0.9998,1,0.8044
0.02416,2277339,0,0.9998,1,0.8035,0.9998,0.9998,1,0.8035
0.02426,2277106,0,0.9998,1,0.8022,0.9998,0.9998,1,0.8022
0.02436,2276873,0,0.9998,1,0.8009,0.9998,0.9998,1,0.8009
0.02446,2276640,0,0.9998,1,0.7996,0.9998,0.9998,1,0.7996
0.02456,2276407,0,0.9998,1,0.7982,0.9998,0.9998,1,0.7982
0.02466,2276174,0,0.9998,1,0.7969,0.9998,0.9998,1,0.7969
0.02476,2275941,0,0.9998,1,0.7956,0.9998,0.9998,1,0.7956
0.02486,2275708,0,0.9998,1,0.7943,0.9998,0.9998,1,0.7943
0.02496,2275475,0,0.9998,1,0.7929,0.9998,0.9998,1,0.7929
0.02506,2275242,0,0.9998,1,0.7916,0.9998,0.9998,1,0.7916
0.02516,2275009,0,0.9998,1,0.7903,0.9998,0.9998,1,0.7903
0.02526,2274776,0,0.9998,1,0.789,0.9998,0.9998,1,0.789
0.02536,2274543,0,0.9998,1,0.7876,0.9998,0.9998,1,0.7876
0.02546,2274310,0,0.9998,1,0.7863,0.9998,0.9998,1,0.7863
0.02556,2274077,0,0.9998,1,0.785,0.9998,0.9998,1,0.785
0.02566,2273844,0,0.9998,1,0.7837,0.9998,0.9998,1,0.7837
0.02576,2273611,0,0.9998,1,0.7824,0.9998,0.9998,1,0.7824
0.02586,2273378,0,0.9998,1,0.781,0.9998,0.9998,1,0.781
0.02596,2273145,0,0.9998,1,0.7797,0.9998,0.9998,1,0.7797
0.02606,2272912,0,0.9998,1,0.7784,0.9998,0.9998,1,0.7784
0.02616,2272679,0,0.9998,1,0.7771,0.9998,0.9998,1,0.7771
0.02626,2272446,0,0.9998,1,0.7761,0.9998,0.9998,1,0.7761
0.02636,2272213,0,0.9998,1,0.7752,0.9998,0.9998,1,0.7752
0.02646,2271980,0,0.9998,1,0.7742,0.9998,0.9998,1,0.7742
0.02656,2271747,0,0.9998,1,0.7732,0.9998,0.9998,1,0.7732
0.02666,2271514,0,0.9998,1,0.7723,0.9998,0.9998,1,0.7723
0.02676,2271281,0,0.9998,1,0.7713,0.9998,0.9998,1,0.7713
0.02686,2271048,0,0.9998,1,0.7703,0.9998,0.9998,1,0.7703
0.02696,2270815,0,0.9998,1,0.7694,0.9998,0.9998,1,0.7694
0.02706,2270582,0,0.9998,1,0.7684,0.9998,0.9998,1,0.7684
0.02716,2270349,0,0.9998,1,0.7674,0.9998,0.9998,1,0.7674
0.02726,2270116,0,0.9998,1,0.7664,0.9998,0.9998,1,0.7664
0.02736,2269883,0,0.9998,1,0.7655,0.9998,0.9998,1,0.7655
0.02746,2269650,0,0.9998,1,0.7645,0.9998,0.9998,1,0.7645
0.02756,2269417,0,0.9998,1,0.7635,0.9998,0.9998,1,0.7635
0.02766,2269184,0,0.9998,1,0.7626,0.9998,0.9998,1,0.7626
0.02776,2268951,0,0.9998,1,0.7616,0.9998,0.9998,1,0.7616
0.02786,2268718,0,0.9998,1,0.7606,0.9998,0.9998,1,0.7606
0.02796,2268485,0,0.9998,1,0.7597,0.9998,0.9998,1,0.7597
0.02806,2268252,0,0.9998,1,0.7587,0.9998,0.9998,1,0.7587
0.02815,2268019,0,0.9998,1,0.7577,0.9998,0.9998,1,0.7577
0.02825,2267786,0,0.9998,1,0.7567,0.9998,0.9998,1,0.7567
0.02835,2267553,0,0.9998,1,0.7558,0.9998,0.9998,1,0.7558
0.02845,2267320,0,0.9998,1,0.7548,0.9998,0.9998,1,0.7548
0.02855,2267087,0,0.9998,1,0.7538,0.9998,0.9998,1,0.7538
0.02865,2266854,0,0.9998,1,0.7529,0.9998,0.9998,1,0.7529
0.02875,2266621,0,0.9998,1,0.7519,0.9998,0.9998,1,0.7519
0.02885,2266388,0,0.9998,1,0.7509,0.9998,0.9998,1,0.7509
0.02895,2266155,0,0.9998,1,0.75,0.9998,0.9998,1,0.75
0.02905,2265922,0,0.9998,1,0.749,0.9998,0.9998,1,0.749
0.02915,2265689,0,0.9998,1,0.748,0.9998,0.9998,1,0.748
0.02925,2265456,0,0.9998,1,0.7471,0.9998,0.9998,1,0.7471
0.02935,2265223,0,0.9998,1,0.7461,0.9998,0.9998,1,0.7461
0.02945,2264990,0,0.9998,1,0.7451,0.9998,0.9998,1,0.7451
0.02955,2264757,0,0.9998,1,0.7442,0.9998,0.9998,1,0.7442
0.02965,2264524,0,0.9998,1,0.7432,0.9998,0.9998,1,0.7432
0.02975,2264291,0,0.9998,1,0.7425,0.9998,0.9998,1,0.7425
0.02985,2264058,0,0.9998,1,0.7417,0.9998,0.9998,1,0.7417
0.02995,2263825,0,0.9998,1,0.7409,0.9998,0.9998,1,0.7409
0.03005,2263592,0,0.9997,1,0.7402,0.9997,0.9998,1,0.7402
0.03015,2263359,0,0.9997,1,0.7394,0.9997,0.9998,1,0.7394
0.03025,2263126,0,0.9997,1,0.7387,0.9997,0.9998,1,0.7387
0.03035,2262893,0,0.9997,1,0.7379,0.9997,0.9998,1,0.7379
0.03045,2262660,0,0.9997,1,0.7371,0.9997,0.9998,1,0.7371
0.03055,2262427,0,0.9997,1,0.7364,0.9997,0.9998,1,0.7364
0.03065,2262194,0,0.9997,1,0.7356,0.9997,0.9998,1,0.7356
0.03075,2261961,0,0.9997,1,0.7349,0.9997,0.9998,1,0.7349
0.03085,2261728,0,0.9997,1,0.7341,0.9997,0.9998,1,0.7341
0.03095,2261495,0,0.9997,1,0.7333,0.9997,0.9998,1,0.7333
0.03105,2261262,0,0.9997,1,0.7326,0.9997,0.9998,1,0.7326
0.03115,2261029,0,0.9997,1,0.7318,0.9997,0.9998,1,0.7318
0.03125,2260796,0,0.9997,1,0.731,0.9997,0.9998,1,0.731
0.03135,2260563,0,0.9997,1,0.7303,0.9997,0.9998,1,0.7303
0.03145,2260330,0,0.9997,1,0.7295,0.9997,0.9998,1,0.7295
0.03155,2260097,0,0.9997,1,0.7288,0.9997,0.9998,1,0.7288
0.03165,2259864,0,0.9997,1,0.728,0.9997,0.9998,1,0.728
0.03175,2259631,0,0.9997,1,0.7272,0.9997,0.9998,1,0.7272
0.03185,2259398,0,0.9997,1,0.7266,0.9997,0.9998,1,0.7266
0.03195,2259165,0,0.9997,1,0.726,0.9997,0.9998,1,0.726
0.03205,2258932,0,0.9997,1,0.7253,0.9997,0.9998,1,0.7253
0.03215,2258699,0,0.9997,1,0.7246,0.9997,0.9998,1,0.7246
0.03225,2258466,0,0.9997,1,0.7238,0.9997,0.9998,1,0.7238
0.03235,2258233,0,0.9997,1,0.7231,0.9997,0.9998,1,0.7231
0.03245,2258000,0,0.9997,1,0.7223,0.9997,0.9998,1,0.7223
0.03255,2257767,0,0.9997,1,0.7215,0.9997,0.9998,1,0.7215
0.03265,2257534,0,0.9997,1,0.7208,0.9997,0.9998,1,0.7208
0.03275,2257301,0,0.9997,1,0.72,0.9997,0.9998,1,0.72
0.03285,2257068,0,0.9997,1,0.7192,0.9997,0.9998,1,0.7192
0.03295,2256835,0,0.9997,1,0.7185,0.9997,0.9998,1,0.7185
0.03305,2256602,0,0.9997,1,0.7177,0.9997,0.9998,1,0.7177
0.03315,2256369,0,0.9997,1,0.717,0.9997,0.9998,1,0.717
0.03325,2256136,0,0.9997,1,0.7162,0.9997,0.9998,1,0.7162
0.03335,2255903,0,0.9997,1,0.7154,0.9997,0.9998,1,0.7154
0.03345,2255670,0,0.9997,1,0.7147,0.9997,0.9998,1,0.7147
0.03355,2255437,0,0.9997,1,0.7142,0.9997,0.9998,1,0.7142
0.03365,2255204,0,0.9997,1,0.7136,0.9997,0.9998,1,0.7136
0.03375,2254971,0,0.9997,1,0.7131,0.9997,0.9998,1,0.7131
0.03385,2254738,0,0.9997,1,0.7126,0.9997,0.9998,1,0.7126
0.03395,2254505,0,0.9997,1,0.712,0.9997,0.9998,1,0.712
0.03405,2254272,0,0.9997,1,0.7115,0.9997,0.9998,1,0.7115
0.03415,2254039,0,0.9997,1,0.7109,0.9997,0.9998,1,0.7109
0.03425,2253806,0,0.9997,1,0.7104,0.9997,0.9998,1,0.7104
0.03435,2253573,0,0.9997,1,0.7098,0.9997,0.9998,1,0.7098
0.03444,2253340,0,0.9997,1,0.7093,0.9997,0.9998,1,0.7093
0.03454,2253107,0,0.9997,1,0.7087,0.9997,0.9998,1,0.7087
0.03464,2252874,0,0.9997,1,0.7082,0.9997,0.9998,1,0.7082
0.03474,2252641,0,0.9997,1,0.7076,0.9997,0.9998,1,0.7076
0.03484,2252408,0,0.9997,1,0.7071,0.9997,0.9998,1,0.7071
0.03494,2252175,0,0.9997,1,0.7065,0.9997,0.9998,1,0.7065
0.03504,2251942,0,0.9997,1,0.706,0.9997,0.9998,1,0.706
0.03514,2251709,0,0.9997,1,0.7054,0.9997,0.9998,1,0.7054
0.03524,2251476,0,0.9997,1,0.7049,0.9997,0.9998,1,0.7049
0.03534,2251243,0,0.9997,1,0.7043,0.9997,0.9998,1,0.7043
0.03544,2251010,0,0.9997,1,0.7038,0.9997,0.9998,1,0.7038
0.03554,2250777,0,0.9997,1,0.7032,0.9997,0.9998,1,0.7032
0.03564,2250544,0,0.9997,1,0.7027,0.9997,0.9998,1,0.7027
0.03574,2250311,0,0.9997,1,0.7021,0.9997,0.9998,1,0.7021
0.03584,2250078,0,0.9997,1,0.7016,0.9997,0.9997,1,0.7016
0.03594,2249845,0,0.9997,1,0.701,0.9997,0.9997,1,0.701
0.03604,2249612,0,0.9997,1,0.7005,0.9997,0.9997,1,0.7005
0.03614,2249379,0,0.9997,1,0.7,0.9997,0.9997,1,0.7
0.03624,2249146,0,0.9997,1,0.6994,0.9997,0.9997,1,0.6994
0.03634,2248913,0,0.9997,1,0.6989,0.9997,0.9997,1,0.6989
0.03644,2248680,0,0.9997,1,0.6983,0.9997,0.9997,1,0.6983
0.03654,2248447,0,0.9997,1,0.6978,0.9997,0.9997,1,0.6978
0.03664,2248214,0,0.9997,1,0.6972,0.9997,0.9997,1,0.6972
