"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.02995 0.0119 0.0078
0.03005 0.0125 0.0078
0.03015 0.0119 0.0072
0.03025 0.0119 0.0078
0.03035 0.0125 0.0090
0.03045 0.0119 0.0084
0.03055 0.0119 0.0066
0.03065 0.0113 0.0090
0.03075 0.0125 0.0072
0.03085 0.0119 0.0090
0.03095 0.0119 0.0078
0.03105 0.0119 0.0084
0.03115 0.0119 0.0078
0.03125 0.0131 0.0078
0.03135 0.0119 0.0072
0.03145 0.0119 0.0078
0.03155 0.0119 0.0096
0.03165 0.0119 0.0078
0.03175 0.0119 0.0078
0.03185 0.0125 0.0078
0.03195 0.0119 0.0072
0.03205 0.0125 0.0090
0.03215 0.0131 0.0084
0.03225 0.0119 0.0078
0.03235 0.0119 0.0078
0.03245 0.0125 0.0084
0.03255 0.0113 0.0078
0.03265 0.0119 0.0078
0.03275 0.0119 0.0084
0.03285 0.0125 0.0078
0.03295 0.0119 0.0078
0.03305 0.0119 0.0078
0.03315 0.0125 0.0084
0.03325 0.0119 0.0084
0.03335 0.0119 0.0072
0.03345 0.0119 0.0084
0.03355 0.0101 0.0084
0.03365 0.0119 0.0078
0.03375 0.0113 0.0090
0.03385 0.0107 0.0084
0.03395 0.0113 0.0084
0.03405 0.0113 0.0078
0.03415 0.0113 0.0078
0.03425 0.0107 0.0084
0.03435 0.0113 0.0090
0.03444 0.0113 0.0078
0.03454 0.0107 0.0072
0.03464 0.0113 0.0090
0.03474 0.0113 0.0084
0.03484 0.0107 0.0090
0.03494 0.0113 0.0084
0.03504 0.0113 0.0078
0.03514 0.0107 0.0078
0.03524 0.0113 0.0096
0.03534 0.0113 0.0072
0.03544 0.0113 0.0078
0.03554 0.0107 0.0078
0.03564 0.0113 0.0096
0.03574 0.0113 0.0078
0.03584 0.0107 0.0078
0.03594 0.0113 0.0084
0.03604 0.0113 0.0084
0.03614 0.0107 0.0090
0.03624 0.0113 0.0078
0.03634 0.0113 0.0084
0.03644 0.0113 0.0078
0.03654 0.0107 0.0078
0.03664 0.0113 0.0096
0.03674 0.0113 0.0072
0.03684 0.0107 0.0078
0.03694 0.0113 0.0096
0.03704 0.0113 0.0078
0.03714 0.0107 0.0078
0.03724 0.0113 0.0084
0.03734 0.0113 0.0090
0.03744 0.0113 0.0072
0.03754 0.0107 0.0078
0.03764 0.0113 0.0096
0.03774 0.0113 0.0078
0.03784 0.0107 0.0078
0.03794 0.0113 0.0084
0.03804 0.0113 0.0090
0.03814 0.0119 0.0072
0.03824 0.0101 0.0090
0.03834 0.0113 0.0084
0.03844 0.0107 0.0078
0.03854 0.0113 0.0078
0.03864 0.0113 0.0096
0.03874 0.0113 0.0078
0.03884 0.0119 0.0084
0.03894 0.0119 0.0078
0.03904 0.0119 0.0084
0.03914 0.0119 0.0078
0.03924 0.0119 0.0078
0.03934 0.0119 0.0078
0.03944 0.0125 0.0072
0.03954 0.0113 0.0078
0.03964 0.0125 0.0090
0.03974 0.0119 0.0072
0.03984 0.0119 0.0090
0.03994 0.0119 0.0078
0.04004 0.0119 0.0072
0.04014 0.0131 0.0090
0.04024 0.0119 0.0084
0.04034 0.0119 0.0078
0.04044 0.0107 0.0078
0.04054 0.0131 0.0084
0.04064 0.0113 0.0066
0.04073 0.0125 0.0078
0.04083 0.0119 0.0090
0.04093 0.0119 0.0072
0.04103 0.0125 0.0090
0.04113 0.0113 0.0078
0.04123 0.0113 0.0084
0.04133 0.0107 0.0084
0.04143 0.0113 0.0090
0.04153 0.0113 0.0078
0.04163 0.0119 0.0084
0.04173 0.0113 0.0084
0.04183 0.0107 0.0078
0.04193 0.0113 0.0090
0.04203 0.0113 0.0084
0.04213 0.0119 0.0084
0.04223 0.0107 0.0090
0.04233 0.0113 0.0078
0.04243 0.0113 0.0084
0.04253 0.0107 0.0084
0.04263 0.0113 0.0090
0.04273 0.0113 0.0078
0.04283 0.0119 0.0084
0.04293 0.0113 0.0084
