"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00961 349794 0.0 0.9998 1.0000 0.8627 0.9998 0.9999 1.0000 0.8627
0.00971 349759 0.0 0.9998 1.0000 0.8620 0.9998 0.9999 1.0000 0.8620
0.00981 349724 0.0 0.9998 1.0000 0.8613 0.9998 0.9999 1.0000 0.8613
0.00991 349689 0.0 0.9998 1.0000 0.8605 0.9998 0.9999 1.0000 0.8605
0.01001 349654 0.0 0.9998 1.0000 0.8597 0.9998 0.9999 1.0000 0.8597
0.01011 349619 0.0 0.9998 1.0000 0.8590 0.9998 0.9999 1.0000 0.8590
0.01021 349584 0.0 0.9998 1.0000 0.8583 0.9998 0.9999 1.0000 0.8583
0.01031 349549 0.0 0.9998 1.0000 0.8575 0.9998 0.9999 1.0000 0.8575
0.01041 349514 0.0 0.9998 1.0000 0.8568 0.9998 0.9999 1.0000 0.8568
0.01050 349479 0.0 0.9998 1.0000 0.8560 0.9998 0.9999 1.0000 0.8560
0.01060 349444 0.0 0.9998 1.0000 0.8552 0.9998 0.9999 1.0000 0.8552
0.01070 349409 0.0 0.9998 1.0000 0.8545 0.9998 0.9999 1.0000 0.8545
0.01080 349374 0.0 0.9998 1.0000 0.8538 0.9998 0.9999 1.0000 0.8538
0.01090 349339 0.0 0.9998 1.0000 0.8530 0.9998 0.9999 1.0000 0.8530
0.01100 349304 0.0 0.9998 1.0000 0.8522 0.9998 0.9999 1.0000 0.8522
0.01110 349269 0.0 0.9998 1.0000 0.8515 0.9998 0.9999 1.0000 0.8515
0.01120 349234 0.0 0.9998 1.0000 0.8507 0.9998 0.9999 1.0000 0.8507
0.01130 349199 0.0 0.9998 1.0000 0.8500 0.9998 0.9999 1.0000 0.8500
0.01140 349164 0.0 0.9998 1.0000 0.8493 0.9998 0.9999 1.0000 0.8493
0.01150 349129 0.0 0.9998 1.0000 0.8485 0.9998 0.9999 1.0000 0.8485
0.01159 349094 0.0 0.9998 1.0000 0.8477 0.9998 0.9999 1.0000 0.8477
0.01169 349059 0.0 0.9998 1.0000 0.8470 0.9998 0.9999 1.0000 0.8470
0.01179 349024 0.0 0.9998 1.0000 0.8462 0.9998 0.9999 1.0000 0.8462
0.01189 348989 0.0 0.9998 1.0000 0.8455 0.9998 0.9999 1.0000 0.8455
0.01199 348954 0.0 0.9998 1.0000 0.8447 0.9998 0.9999 1.0000 0.8447
0.01209 348919 0.0 0.9998 1.0000 0.8440 0.9998 0.9999 1.0000 0.8440
0.01219 348884 0.0 0.9998 1.0000 0.8432 0.9998 0.9999 1.0000 0.8432
0.01229 348849 0.0 0.9998 1.0000 0.8425 0.9998 0.9999 1.0000 0.8425
0.01239 348814 0.0 0.9998 1.0000 0.8418 0.9998 0.9999 1.0000 0.8418
0.01249 348779 0.0 0.9998 1.0000 0.8410 0.9998 0.9999 1.0000 0.8410
0.01259 348744 0.0 0.9997 1.0000 0.8402 0.9997 0.9999 1.0000 0.8402
0.01268 348709 0.0 0.9997 1.0000 0.8395 0.9997 0.9999 1.0000 0.8395
0.01278 348674 0.0 0.9997 1.0000 0.8387 0.9997 0.9999 1.0000 0.8387
0.01288 348639 0.0 0.9997 1.0000 0.8380 0.9997 0.9999 1.0000 0.8380
0.01298 348604 0.0 0.9997 1.0000 0.8372 0.9997 0.9999 1.0000 0.8372
0.01308 348569 0.0 0.9997 1.0000 0.8365 0.9997 0.9999 1.0000 0.8365
0.01318 348534 0.0 0.9997 1.0000 0.8357 0.9997 0.9999 1.0000 0.8357
0.01328 348499 0.0 0.9997 1.0000 0.8350 0.9997 0.9999 1.0000 0.8350
0.01338 348464 0.0 0.9997 1.0000 0.8342 0.9997 0.9999 1.0000 0.8342
0.01348 348429 0.0 0.9997 1.0000 0.8335 0.9997 0.9999 1.0000 0.8335
0.01358 348394 0.0 0.9997 1.0000 0.8327 0.9997 0.9999 1.0000 0.8327
0.01368 348359 0.0 0.9997 1.0000 0.8320 0.9997 0.9999 1.0000 0.8320
0.01377 348324 0.0 0.9997 1.0000 0.8312 0.9997 0.9999 1.0000 0.8312
0.01387 348289 0.0 0.9997 1.0000 0.8305 0.9997 0.9999 1.0000 0.8305
0.01397 348254 0.0 0.9997 1.0000 0.8297 0.9997 0.9999 1.0000 0.8297
0.01407 348219 0.0 0.9997 1.0000 0.8290 0.9997 0.9999 1.0000 0.8290
0.01417 348184 0.0 0.9997 1.0000 0.8282 0.9997 0.9999 1.0000 0.8282
0.01427 348149 0.0 0.9997 1.0000 0.8275 0.9997 0.9999 1.0000 0.8275
0.01437 348114 0.0 0.9997 1.0000 0.8267 0.9997 0.9999 1.0000 0.8267
0.01447 348079 0.0 0.9997 1.0000 0.8259 0.9997 0.9999 1.0000 0.8259
0.01457 348044 0.0 0.9997 1.0000 0.8252 0.9997 0.9999 1.0000 0.8252
0.01467 348009 0.0 0.9997 1.0000 0.8245 0.9997 0.9999 1.0000 0.8245
0.01477 347974 0.0 0.9997 1.0000 0.8237 0.9997 0.9999 1.0000 0.8237
0.01486 347939 0.0 0.9997 1.0000 0.8230 0.9997 0.9999 1.0000 0.8230
0.01496 347904 0.0 0.9997 1.0000 0.8222 0.9997 0.9999 1.0000 0.8222
0.01506 347869 0.0 0.9997 1.0000 0.8215 0.9997 0.9999 1.0000 0.8215
0.01516 347834 0.0 0.9997 1.0000 0.8207 0.9997 0.9999 1.0000 0.8207
0.01526 347799 0.0 0.9997 1.0000 0.8200 0.9997 0.9999 1.0000 0.8200
0.01536 347764 0.0 0.9997 1.0000 0.8192 0.9997 0.9999 1.0000 0.8192
0.01546 347729 0.0 0.9997 1.0000 0.8184 0.9997 0.9999 1.0000 0.8184
0.01556 347694 0.0 0.9997 1.0000 0.8177 0.9997 0.9999 1.0000 0.8177
0.01566 347659 0.0 0.9997 1.0000 0.8170 0.9997 0.9999 1.0000 0.8170
0.01576 347624 0.0 0.9997 1.0000 0.8162 0.9997 0.9999 1.0000 0.8162
0.01586 347589 0.0 0.9997 1.0000 0.8155 0.9997 0.9999 1.0000 0.8155
0.01595 347554 0.0 0.9997 1.0000 0.8147 0.9997 0.9999 1.0000 0.8147
0.01605 347519 0.0 0.9997 1.0000 0.8139 0.9997 0.9999 1.0000 0.8139
0.01615 347484 0.0 0.9997 1.0000 0.8132 0.9997 0.9999 1.0000 0.8132
0.01625 347449 0.0 0.9997 1.0000 0.8125 0.9997 0.9999 1.0000 0.8125
0.01635 347414 0.0 0.9997 1.0000 0.8117 0.9997 0.9999 1.0000 0.8117
0.01645 347379 0.0 0.9997 1.0000 0.8109 0.9997 0.9999 1.0000 0.8109
0.01655 347344 0.0 0.9997 1.0000 0.8102 0.9997 0.9999 1.0000 0.8102
0.01665 347309 0.0 0.9997 1.0000 0.8094 0.9997 0.9999 1.0000 0.8094
0.01675 347274 0.0 0.9997 1.0000 0.8087 0.9997 0.9999 1.0000 0.8087
0.01685 347239 0.0 0.9997 1.0000 0.8080 0.9997 0.9999 1.0000 0.8080
0.01695 347204 0.0 0.9997 1.0000 0.8072 0.9997 0.9999 1.0000 0.8072
0.01704 347169 0.0 0.9997 1.0000 0.8064 0.9997 0.9999 1.0000 0.8064
0.01714 347134 0.0 0.9997 1.0000 0.8057 0.9997 0.9999 1.0000 0.8057
0.01724 347099 0.0 0.9997 1.0000 0.8050 0.9997 0.9999 1.0000 0.8050
0.01734 347064 0.0 0.9996 1.0000 0.8042 0.9996 0.9999 1.0000 0.8042
0.01744 347029 0.0 0.9996 1.0000 0.8034 0.9996 0.9999 1.0000 0.8034
0.01754 346994 0.0 0.9996 1.0000 0.8027 0.9996 0.9999 1.0000 0.8027
0.01764 346959 0.0 0.9996 1.0000 0.8019 0.9996 0.9999 1.0000 0.8019
0.01774 346924 0.0 0.9996 1.0000 0.8012 0.9996 0.9999 1.0000 0.8012
0.01784 346889 0.0 0.9996 1.0000 0.8005 0.9996 0.9999 1.0000 0.8005
0.01794 346854 0.0 0.9996 1.0000 0.7997 0.9996 0.9999 1.0000 0.7997
0.01804 346819 0.0 0.9996 1.0000 0.7989 0.9996 0.9999 1.0000 0.7989
0.01813 346784 0.0 0.9996 1.0000 0.7982 0.9996 0.9999 1.0000 0.7982
0.01823 346749 0.0 0.9996 1.0000 0.7974 0.9996 0.9999 1.0000 0.7974
0.01833 346714 0.0 0.9996 1.0000 0.7967 0.9996 0.9999 1.0000 0.7967
0.01843 346679 0.0 0.9996 1.0000 0.7959 0.9996 0.9999 1.0000 0.7959
0.01853 346644 0.0 0.9996 1.0000 0.7952 0.9996 0.9999 1.0000 0.7952
0.01863 346609 0.0 0.9996 1.0000 0.7944 0.9996 0.9999 1.0000 0.7944
0.01873 346574 0.0 0.9996 1.0000 0.7937 0.9996 0.9999 1.0000 0.7937
0.01883 346539 0.0 0.9996 1.0000 0.7929 0.9996 0.9999 1.0000 0.7929
0.01893 346504 0.0 0.9996 1.0000 0.7922 0.9996 0.9999 1.0000 0.7922
0.01903 346469 0.0 0.9996 1.0000 0.7914 0.9996 0.9999 1.0000 0.7914
0.01913 346434 0.0 0.9996 1.0000 0.7907 0.9996 0.9999 1.0000 0.7907
0.01922 346399 0.0 0.9996 1.0000 0.7899 0.9996 0.9999 1.0000 0.7899
0.01932 346364 0.0 0.9996 1.0000 0.7891 0.9996 0.9999 1.0000 0.7891
