"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.07829 0.0662 0.0096
0.07839 0.0595 0.0096
0.07848 0.0650 0.0090
0.07858 0.0656 0.0096
0.07868 0.0650 0.0096
0.07878 0.0644 0.0084
0.07888 0.0662 0.0096
0.07898 0.0644 0.0096
0.07908 0.0595 0.0096
0.07918 0.0662 0.0096
0.07928 0.0644 0.0090
0.07938 0.0662 0.0096
0.07948 0.0650 0.0084
0.07957 0.0644 0.0096
0.07967 0.0662 0.0096
0.07977 0.0595 0.0096
0.07987 0.0644 0.0096
0.07997 0.0662 0.0084
0.08007 0.0644 0.0096
0.08017 0.0192 0.0174
0.08027 0.0108 0.0192
0.08037 0.0108 0.0192
0.08047 0.0066 0.0192
0.08057 0.0102 0.0192
0.08067 0.0114 0.0186
0.08076 0.0066 0.0192
0.08086 0.0108 0.0192
0.08096 0.0114 0.0192
0.08106 0.0054 0.0192
0.08116 0.0114 0.0192
0.08126 0.0054 0.0192
0.08136 0.0114 0.0192
0.08146 0.0108 0.0192
0.08156 0.0054 0.0192
0.08166 0.0114 0.0192
0.08176 0.0114 0.0192
0.08185 0.0054 0.0192
0.08195 0.0114 0.0180
0.08205 0.0108 0.0192
0.08215 0.0060 0.0192
0.08225 0.0114 0.0192
0.08235 0.0108 0.0192
0.08245 0.0066 0.0192
0.08255 0.0108 0.0180
0.08265 0.0108 0.0192
0.08275 0.0066 0.0192
0.08285 0.0108 0.0192
0.08294 0.0108 0.0192
0.08304 0.0054 0.0192
0.08314 0.0114 0.0192
0.08324 0.0114 0.0192
0.08334 0.0048 0.0192
0.08344 0.0120 0.0192
0.08354 0.0114 0.0192
0.08364 0.0048 0.0192
0.08374 0.0120 0.0192
0.08384 0.0054 0.0186
0.08394 0.0108 0.0192
0.08403 0.0114 0.0180
0.08413 0.0060 0.0204
0.08423 0.0108 0.0192
0.08433 0.0114 0.0180
0.08443 0.0060 0.0204
0.08453 0.0108 0.0192
0.08463 0.0114 0.0192
0.08473 0.0054 0.0180
0.08483 0.0120 0.0192
0.08493 0.0108 0.0192
0.08503 0.0054 0.0192
0.08512 0.0108 0.0192
0.08522 0.0120 0.0192
0.08532 0.0054 0.0192
0.08542 0.0120 0.0192
0.08552 0.0102 0.0192
0.08562 0.0054 0.0192
0.08572 0.0108 0.0192
0.08582 0.0120 0.0192
0.08592 0.0054 0.0186
0.08602 0.0108 0.0180
0.08612 0.0054 0.0204
0.08621 0.0120 0.0192
0.08631 0.0120 0.0180
0.08641 0.0054 0.0192
0.08651 0.0108 0.0192
0.08661 0.0108 0.0192
0.08671 0.0066 0.0192
0.08681 0.0108 0.0192
0.08691 0.0108 0.0192
0.08701 0.0060 0.0192
0.08711 0.0108 0.0192
0.08721 0.0120 0.0192
0.08730 0.0042 0.0192
0.08740 0.0126 0.0192
0.08750 0.0102 0.0192
0.08760 0.0054 0.0180
0.08770 0.0120 0.0192
0.08780 0.0120 0.0192
0.08790 0.0048 0.0186
0.08800 0.0114 0.0192
0.08810 0.0108 0.0192
0.08820 0.0060 0.0192
0.08830 0.0108 0.0192
0.08839 0.0060 0.0192
0.08849 0.0114 0.0192
0.08859 0.0108 0.0192
0.08869 0.0054 0.0192
0.08879 0.0120 0.0192
0.08889 0.0108 0.0192
0.08899 0.0054 0.0192
0.08909 0.0114 0.0192
0.08919 0.0114 0.0192
0.08929 0.0054 0.0180
0.08939 0.0114 0.0192
0.08948 0.0108 0.0204
0.08958 0.0054 0.0180
0.08968 0.0108 0.0192
0.08978 0.0114 0.0192
0.08988 0.0060 0.0192
0.08998 0.0120 0.0186
0.09008 0.0102 0.0192
0.09018 0.0060 0.0192
0.09028 0.0114 0.0192
0.09038 0.0114 0.0192
0.09048 0.0054 0.0192
0.09057 0.0114 0.0192
0.09067 0.0054 0.0192
0.09077 0.0114 0.0192
0.09087 0.0114 0.0192
0.09097 0.0054 0.0192
0.09107 0.0108 0.0192
0.09117 0.0114 0.0192
0.09127 0.0054 0.0192
0.09137 0.0114 0.0192
0.09147 0.0120 0.0192
0.09157 0.0048 0.0180
0.09166 0.0108 0.0192
0.09176 0.0120 0.0180
