"rank" "feature_density_pos" "weighted_feature_density_pos" "feature_density_zero" 
0.02026 0.0782 0.0000 0.0000
0.02036 0.0800 0.0006 0.0000
0.02046 0.0782 0.0012 0.0000
0.02056 0.0788 0.0000 0.0000
0.02066 0.0788 0.0000 0.0000
0.02076 0.0788 0.0000 0.0000
0.02086 0.0800 0.0012 0.0000
0.02096 0.0788 0.0006 0.0000
0.02106 0.0788 0.0000 0.0000
0.02116 0.0788 0.0000 0.0000
0.02126 0.0782 0.0012 0.0000
0.02136 0.0340 0.0006 0.0000
0.02146 0.0305 0.0012 0.0000
0.02156 0.0788 0.0000 0.0000
0.02166 0.0794 0.0000 0.0000
0.02176 0.0788 0.0012 0.0000
0.02186 0.0794 0.0000 0.0000
0.02196 0.0782 0.0006 0.0000
0.02206 0.0788 0.0000 0.0000
0.02216 0.0788 0.0000 0.0000
0.02226 0.0806 0.0012 0.0000
0.02236 0.0782 0.0000 0.0000
0.02246 0.0788 0.0006 0.0000
0.02256 0.0794 0.0000 0.0000
0.02266 0.0782 0.0012 0.0000
0.02276 0.0800 0.0000 0.0000
0.02286 0.0788 0.0012 0.0000
0.02296 0.0788 0.0000 0.0000
0.02306 0.0782 0.0000 0.0000
0.02316 0.0806 0.0006 0.0000
0.02326 0.0788 0.0012 0.0000
0.02336 0.0788 0.0000 0.0000
0.02346 0.0782 0.0000 0.0000
0.02356 0.0788 0.0000 0.0000
0.02366 0.0806 0.0006 0.0000
0.02376 0.0782 0.0012 0.0000
0.02386 0.0788 0.0000 0.0000
0.02396 0.0788 0.0000 0.0000
0.02406 0.0800 0.0000 0.0000
0.02416 0.0782 0.0018 0.0000
0.02426 0.0794 0.0000 0.0000
0.02436 0.0788 0.0000 0.0000
0.02446 0.0800 0.0000 0.0000
0.02456 0.0794 0.0018 0.0000
0.02466 0.0788 0.0000 0.0000
0.02476 0.0794 0.0000 0.0000
0.02486 0.0788 0.0000 0.0000
0.02495 0.0794 0.0012 0.0000
0.02505 0.0794 0.0012 0.0000
0.02515 0.0788 0.0000 0.0000
0.02525 0.0794 0.0000 0.1797
0.02535 0.0794 0.0006 0.3592
0.02545 0.0794 0.0000 0.5389
0.02555 0.0788 0.0012 1.2572
0.02565 0.0794 0.0000 1.4370
0.02575 0.0806 0.0000 1.0777
0.02585 0.0794 0.0006 1.0777
0.02595 0.0794 0.0000 1.2573
0.02605 0.0788 0.0012 1.2572
0.02615 0.0418 0.0012 1.2573
0.02625 0.0066 0.0006 0.0000
0.02635 0.0072 0.0018 0.0000
0.02645 0.0072 0.0024 0.0000
0.02655 0.0054 0.0000 0.0000
0.02665 0.0072 0.0018 0.0000
0.02675 0.0066 0.0018 0.0000
0.02685 0.0579 0.0000 1.2572
0.02695 0.0800 0.0012 1.4369
0.02705 0.0794 0.0006 1.4369
0.02715 0.0370 0.0012 1.2573
0.02725 0.0072 0.0006 0.0000
0.02735 0.0042 0.0024 0.0000
0.02745 0.0060 0.0006 0.0000
0.02755 0.0048 0.0018 0.0000
0.02765 0.0060 0.0012 0.0000
0.02775 0.0155 0.0018 0.0000
0.02785 0.0794 0.0000 1.4368
0.02795 0.0800 0.0000 1.2573
0.02805 0.0788 0.0000 1.2572
0.02815 0.0806 0.0018 1.2573
0.02825 0.0800 0.0000 2.3350
0.02835 0.0794 0.0000 1.2573
0.02845 0.0812 0.0000 1.0776
0.02855 0.0794 0.0012 1.0777
0.02865 0.0812 0.0012 1.9757
0.02875 0.0794 0.0000 0.8980
0.02885 0.0167 0.0018 0.0000
0.02895 0.0113 0.0018 0.0000
0.02905 0.0096 0.0018 0.0000
0.02915 0.0131 0.0018 0.7185
0.02925 0.0102 0.0024 0.0000
0.02935 0.0125 0.0018 0.0000
0.02945 0.0102 0.0018 0.0000
0.02955 0.0107 0.0018 0.0000
0.02965 0.0107 0.0018 0.0000
0.02975 0.0113 0.0024 0.0000
0.02985 0.0107 0.0024 0.0000
0.02995 0.0119 0.0024 0.0000
0.03005 0.0113 0.0018 0.0000
0.03015 0.0096 0.0018 0.0000
0.03025 0.0119 0.0018 0.0000
0.03035 0.0102 0.0018 0.0000
0.03044 0.0107 0.0024 0.0000
0.03054 0.0119 0.0018 0.1796
0.03064 0.0113 0.0018 0.5388
0.03074 0.0096 0.0018 0.0000
0.03084 0.0131 0.0018 0.0000
0.03094 0.0102 0.0024 0.0000
0.03104 0.0119 0.0018 0.0000
0.03114 0.0107 0.0018 0.0000
