"number" "dsum" "count" "missing" "quant_error" "fname"
88 98915.0 98915 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Diclidurus_ingens.tif"
89 1270.0 1270 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Dicrostonyx_vinogradovi.tif"
90 20.0 20 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Diomys_crumpi.tif"
91 32.0 32 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Diplomys_caniceps.tif"
92 2207.0 2207 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Dryomys_laniger.tif"
93 98.0 98 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Chaetocauda_sichuanensis.tif"
94 19322.0 19322 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Phyllomys_lamarum.tif"
95 6333.0 6333 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Echimys_saturnus.tif"
96 50.0 50 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Echymipera_echinista.tif"
97 6120.0 6120 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Elephantulus_revoilii.tif"
98 215.0 215 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Ellobius_alaicus.tif"
99 2281.0 2281 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Eothenomys_proditor.tif"
100 44.0 44 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Epomophorus_grandis.tif"
101 45212.0 45212 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Eptesicus_bobrinskoi.tif"
102 261.0 261 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Eptesicus_dimissus.tif"
103 108.0 108 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Eptesicus_kobayashii.tif"
104 70.0 70 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Eptesicus_platyops.tif"
105 79.0 79 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Eptesicus_tatei.tif"
106 58480.0 58480 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Eumops_maurus.tif"
107 4726.0 4726 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Euneomys_chinchilloides.tif"
108 329.0 329 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Euroscaptor_parvidens.tif"
109 33521.0 33521 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Exilisciurus_exilis.tif"
110 18508.0 18508 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Funisciurus_bayonii.tif"
111 10956.0 10956 26505689 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\dd_rasters\Mammalia_Funisciurus_substriatus.tif"
