"rank" "mean.1" "weighted_mean.1" "min.1" "mean.2" "weighted_mean.2" "min.2" "mean.3" "weighted_mean.3" "min.3" "mean.4" "weighted_mean.4" "min.4" 
0.00779 1.0000 1.0000 1.0000 0.9938 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00789 1.0000 1.0000 1.0000 0.9938 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00799 1.0000 1.0000 1.0000 0.9938 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00809 1.0000 1.0000 1.0000 0.9938 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00819 1.0000 1.0000 1.0000 0.9937 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00829 1.0000 1.0000 1.0000 0.9937 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00838 1.0000 1.0000 1.0000 0.9936 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00848 1.0000 1.0000 1.0000 0.9935 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00858 1.0000 1.0000 1.0000 0.9933 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00868 1.0000 1.0000 1.0000 0.9931 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00878 1.0000 1.0000 1.0000 0.9930 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00888 1.0000 1.0000 1.0000 0.9928 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00898 1.0000 1.0000 1.0000 0.9927 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00908 1.0000 1.0000 1.0000 0.9926 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00918 1.0000 1.0000 1.0000 0.9926 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00928 1.0000 1.0000 1.0000 0.9925 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00938 1.0000 1.0000 1.0000 0.9924 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00948 1.0000 1.0000 1.0000 0.9924 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00958 1.0000 1.0000 1.0000 0.9923 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00968 0.9999 1.0000 0.9474 0.9923 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00978 0.9998 1.0000 0.8684 0.9922 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00988 0.9994 1.0000 0.6579 0.9921 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.00998 0.9992 1.0000 0.5263 0.9921 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01008 0.9990 1.0000 0.3947 0.9920 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01018 0.9985 1.0000 0.1842 0.9919 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01028 0.9983 1.0000 0.0789 0.9918 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01038 0.9981 1.0000 0.0000 0.9917 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01048 0.9979 1.0000 0.0000 0.9916 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01058 0.9979 1.0000 0.0000 0.9916 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01068 0.9977 1.0000 0.0000 0.9915 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01078 0.9977 1.0000 0.0000 0.9914 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01088 0.9977 1.0000 0.0000 0.9913 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01098 0.9977 1.0000 0.0000 0.9912 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01108 0.9977 1.0000 0.0000 0.9911 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01118 0.9977 1.0000 0.0000 0.9910 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01128 0.9977 1.0000 0.0000 0.9909 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01138 0.9977 1.0000 0.0000 0.9909 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01148 0.9977 1.0000 0.0000 0.9908 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01158 0.9977 1.0000 0.0000 0.9908 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01168 0.9977 1.0000 0.0000 0.9907 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01178 0.9977 1.0000 0.0000 0.9907 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01188 0.9977 1.0000 0.0000 0.9907 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01198 0.9977 1.0000 0.0000 0.9906 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01208 0.9977 1.0000 0.0000 0.9906 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01218 0.9977 1.0000 0.0000 0.9905 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01228 0.9977 1.0000 0.0000 0.9905 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01238 0.9977 1.0000 0.0000 0.9904 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01248 0.9977 1.0000 0.0000 0.9904 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01258 0.9977 1.0000 0.0000 0.9904 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01268 0.9977 1.0000 0.0000 0.9903 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01278 0.9977 1.0000 0.0000 0.9903 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01288 0.9977 1.0000 0.0000 0.9902 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01298 0.9977 1.0000 0.0000 0.9902 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01308 0.9977 1.0000 0.0000 0.9901 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01318 0.9977 1.0000 0.0000 0.9901 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01328 0.9977 1.0000 0.0000 0.9901 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01338 0.9977 1.0000 0.0000 0.9900 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01348 0.9977 1.0000 0.0000 0.9900 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01358 0.9977 1.0000 0.0000 0.9899 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01368 0.9977 1.0000 0.0000 0.9899 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01378 0.9977 1.0000 0.0000 0.9899 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01387 0.9977 1.0000 0.0000 0.9898 1.0000 0.0000 0.9755 1.0000 0.1408 0.9974 1.0000 0.0000 
0.01397 0.9977 1.0000 0.0000 0.9898 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01407 0.9977 1.0000 0.0000 0.9898 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01417 0.9977 1.0000 0.0000 0.9897 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01427 0.9977 1.0000 0.0000 0.9897 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01437 0.9977 1.0000 0.0000 0.9897 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01447 0.9977 1.0000 0.0000 0.9896 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01457 0.9977 1.0000 0.0000 0.9896 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01467 0.9977 1.0000 0.0000 0.9896 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01477 0.9977 1.0000 0.0000 0.9895 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01487 0.9977 1.0000 0.0000 0.9895 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01497 0.9977 1.0000 0.0000 0.9895 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01507 0.9977 1.0000 0.0000 0.9894 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01517 0.9977 1.0000 0.0000 0.9893 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01527 0.9977 1.0000 0.0000 0.9892 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01537 0.9977 1.0000 0.0000 0.9891 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01547 0.9977 1.0000 0.0000 0.9890 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01557 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01567 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9973 1.0000 0.0000 
0.01577 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9972 1.0000 0.0000 
0.01587 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9972 1.0000 0.0000 
0.01597 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9972 1.0000 0.0000 
0.01607 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9972 1.0000 0.0000 
0.01617 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9972 1.0000 0.0000 
0.01627 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9972 1.0000 0.0000 
0.01637 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9972 1.0000 0.0000 
0.01647 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9972 1.0000 0.0000 
0.01657 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9972 1.0000 0.0000 
0.01667 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9972 1.0000 0.0000 
0.01677 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9972 1.0000 0.0000 
0.01687 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9972 1.0000 0.0000 
0.01697 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9971 1.0000 0.0000 
0.01707 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9971 1.0000 0.0000 
0.01717 0.9977 1.0000 0.0000 0.9889 1.0000 0.0000 0.9755 1.0000 0.1408 0.9971 1.0000 0.0000 
0.01727 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9971 1.0000 0.0000 
0.01737 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9971 1.0000 0.0000 
0.01747 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9971 1.0000 0.0000 
0.01757 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9971 1.0000 0.0000 
0.01767 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9971 1.0000 0.0000 
0.01777 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9971 1.0000 0.0000 
0.01787 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9971 1.0000 0.0000 
0.01797 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9970 1.0000 0.0000 
0.01807 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9970 1.0000 0.0000 
0.01817 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9970 1.0000 0.0000 
0.01827 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9969 1.0000 0.0000 
0.01837 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9969 1.0000 0.0000 
0.01847 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9969 1.0000 0.0000 
0.01857 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9969 1.0000 0.0000 
0.01867 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9968 1.0000 0.0000 
0.01877 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9968 1.0000 0.0000 
0.01887 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9968 1.0000 0.0000 
0.01897 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9968 1.0000 0.0000 
0.01907 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9967 1.0000 0.0000 
0.01917 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9967 1.0000 0.0000 
0.01927 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9967 1.0000 0.0000 
0.01936 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9966 1.0000 0.0000 
0.01946 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9966 1.0000 0.0000 
0.01956 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9966 1.0000 0.0000 
0.01966 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9966 1.0000 0.0000 
0.01976 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9966 1.0000 0.0000 
0.01986 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9965 1.0000 0.0000 
0.01996 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9965 1.0000 0.0000 
0.02006 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9965 1.0000 0.0000 
0.02016 0.9977 1.0000 0.0000 0.9888 1.0000 0.0000 0.9755 1.0000 0.1408 0.9965 1.0000 0.0000 
0.02026 0.9977 1.0000 0.0000 0.9887 1.0000 0.0000 0.9755 1.0000 0.1408 0.9965 1.0000 0.0000 
0.02036 0.9977 1.0000 0.0000 0.9887 1.0000 0.0000 0.9755 1.0000 0.1408 0.9965 1.0000 0.0000 
0.02046 0.9977 1.0000 0.0000 0.9887 1.0000 0.0000 0.9755 1.0000 0.1408 0.9965 1.0000 0.0000 
0.02056 0.9977 1.0000 0.0000 0.9887 1.0000 0.0000 0.9755 1.0000 0.1408 0.9965 1.0000 0.0000 
0.02066 0.9977 1.0000 0.0000 0.9887 1.0000 0.0000 0.9755 1.0000 0.1408 0.9965 1.0000 0.0000 
