condition group weight wgrp filename
1 4 0.207 4 ../dd_rasters/Mammalia_Rattus enganus.tif
1 4 0.211 4 ../dd_rasters/Mammalia_Rattus koopmani.tif
1 4 0.18 4 ../dd_rasters/Mammalia_Rattus korinchi.tif
1 4 0.211 4 ../dd_rasters/Mammalia_Rattus pelurus.tif
1 4 0.287 4 ../dd_rasters/Mammalia_Rattus timorensis.tif
1 4 0.135 4 ../dd_rasters/Mammalia_Reithrodontomys burti.tif
1 4 0.399 4 ../dd_rasters/Mammalia_Reithrodontomys paradoxus.tif
1 4 0.488 4 ../dd_rasters/Mammalia_Rhinolophus adami.tif
1 4 0.526 4 ../dd_rasters/Mammalia_Rhinolophus mitratus.tif
1 4 0.158 4 ../dd_rasters/Mammalia_Rhinolophus nereis.tif
1 4 0.096 4 ../dd_rasters/Mammalia_Rhinolophus silvestris.tif
1 4 0.309 4 ../dd_rasters/Mammalia_Rhinolophus subrufus.tif
1 4 0.334 4 ../dd_rasters/Mammalia_Rhinolophus keyensis.tif
1 4 0.193 4 ../dd_rasters/Mammalia_Rhinopoma macinnesi.tif
1 4 0.323 4 ../dd_rasters/Mammalia_Rhipidomys caucensis.tif
1 4 0.174 4 ../dd_rasters/Mammalia_Rhipidomys ochrogaster.tif
1 4 0.018 4 ../dd_rasters/Mammalia_Saccopteryx gymnura.tif
1 4 0.164 4 ../dd_rasters/Mammalia_Salpingotus heptneri.tif
1 4 0.186 4 ../dd_rasters/Mammalia_Salpingotulus michaelis.tif
1 4 0.076 4 ../dd_rasters/Mammalia_Salpingotus pallidus.tif
1 4 0.082 4 ../dd_rasters/Mammalia_Sciurus arizonensis.tif
1 4 0.067 4 ../dd_rasters/Mammalia_Sciurus flammifer.tif
1 4 0.043 4 ../dd_rasters/Mammalia_Sciurus gilvigularis.tif
1 4 0.268 4 ../dd_rasters/Mammalia_Sciurus pucheranii.tif
1 4 0.213 4 ../dd_rasters/Mammalia_Sciurus pyrrhinus.tif
1 4 0.06 4 ../dd_rasters/Mammalia_Sciurus sanborni.tif
1 4 0.01 4 ../dd_rasters/Mammalia_Scleronycteris ega.tif
1 4 0.217 4 ../dd_rasters/Mammalia_Scotoecus albofuscus.tif
1 4 0.552 4 ../dd_rasters/Mammalia_Scotophilus borbonicus.tif
1 4 0.218 4 ../dd_rasters/Mammalia_Scotophilus celebensis.tif
1 4 0.061 4 ../dd_rasters/Mammalia_Selevinia betpakdalaensis.tif
1 4 0.046 4 ../dd_rasters/Mammalia_Sicista caudata.tif
1 4 0.1 4 ../dd_rasters/Mammalia_Sicista pseudonapaea.tif
1 4 0.241 4 ../dd_rasters/Mammalia_Tanyuromys aphrastus.tif
1 4 0.044 4 ../dd_rasters/Mammalia_Sminthopsis archeri.tif
1 4 0.155 4 ../dd_rasters/Mammalia_Solomys salamonis.tif
1 4 0.233 4 ../dd_rasters/Mammalia_Sorex cansulus.tif
1 4 0.136 4 ../dd_rasters/Mammalia_Sorex kozlovi.tif
1 4 0.024 4 ../dd_rasters/Mammalia_Sorex leucogaster.tif
