condition group weight wgrp filename
1 1 0.416 1 ../lost_rasters/Amphibia_Duttaphrynus valhallae.tif
1 1 0.161 1 ../lost_rasters/Amphibia_Laurentophryne parkeri.tif
1 1 0.204 1 ../lost_rasters/Amphibia_Nectophrynoides poyntoni.tif
1 1 0.509 1 ../lost_rasters/Amphibia_Rhinella rostrata.tif
1 1 0.543 1 ../lost_rasters/Amphibia_Altiphrynoides osgoodi.tif
1 1 0.205 1 ../lost_rasters/Amphibia_Werneria mertensiana.tif
1 1 0.288 1 ../lost_rasters/Amphibia_Centrolene geckoidea.tif
1 1 0.242 1 ../lost_rasters/Amphibia_Centrolene pipilata.tif
1 1 0.151 1 ../lost_rasters/Amphibia_Nymphargus armatus.tif
1 1 0.108 1 ../lost_rasters/Amphibia_Nymphargus truebae.tif
1 1 0.247 1 ../lost_rasters/Amphibia_Aromobates nocturnus.tif
1 1 0.29 1 ../lost_rasters/Amphibia_Hyloxalus abditaurantius.tif
1 1 0.441 1 ../lost_rasters/Amphibia_Hyloxalus anthracinus.tif
1 1 0.171 1 ../lost_rasters/Amphibia_Ectopoglossus atopoglossus.tif
1 1 0.569 1 ../lost_rasters/Amphibia_Prostherapis dunni.tif
1 1 0.587 1 ../lost_rasters/Amphibia_Hyloxalus edwardsi.tif
1 1 0.234 1 ../lost_rasters/Amphibia_Aromobates leopardalis.tif
1 1 0.252 1 ../lost_rasters/Amphibia_Hyloxalus maquipucuna.tif
1 1 0.679 1 ../lost_rasters/Amphibia_Hyloxalus marmoreoventris.tif
1 1 0.155 1 ../lost_rasters/Amphibia_Allobates mcdiarmidi.tif
1 1 0.435 1 ../lost_rasters/Amphibia_Allobates ranoides.tif
1 1 0.538 1 ../lost_rasters/Amphibia_Hyloxalus ruizi.tif
1 1 0.18 1 ../lost_rasters/Amphibia_Andinobates abditus.tif
1 1 0.177 1 ../lost_rasters/Amphibia_Andinobates viridis.tif
1 1 0.205 1 ../lost_rasters/Amphibia_Paruwrobates andinus.tif
1 1 0.511 1 ../lost_rasters/Amphibia_Mannophryne neblina.tif
1 1 0.431 1 ../lost_rasters/Amphibia_Aromobates alboguttatus.tif
1 1 0.424 1 ../lost_rasters/Amphibia_Aromobates haydeeae.tif
1 1 0.458 1 ../lost_rasters/Amphibia_Aromobates molinarii.tif
1 1 0.295 1 ../lost_rasters/Amphibia_Aromobates serranus.tif
1 1 0.173 1 ../lost_rasters/Amphibia_Hyla nicefori.tif
1 1 0.15 1 ../lost_rasters/Amphibia_Gastrotheca angustifrons.tif
1 1 0.228 1 ../lost_rasters/Amphibia_Gastrotheca antomia.tif
1 1 0.115 1 ../lost_rasters/Amphibia_Gastrotheca christiani.tif
1 1 0.23 1 ../lost_rasters/Amphibia_Gastrotheca guentheri.tif
1 1 0.305 1 ../lost_rasters/Amphibia_Dryophytes bocourti.tif
1 1 0.146 1 ../lost_rasters/Amphibia_Sarcohyla calvicollina.tif
1 1 0.206 1 ../lost_rasters/Amphibia_Isthmohyla calypsa.tif
1 1 0.437 1 ../lost_rasters/Amphibia_Sarcohyla charadricola.tif
1 1 0.31 1 ../lost_rasters/Amphibia_Hyloscirtus chlorosteus.tif
1 1 0.136 1 ../lost_rasters/Amphibia_Boana clepsydra.tif
1 1 0.146 1 ../lost_rasters/Amphibia_Sarcohyla cyanomma.tif
1 1 0.67 1 ../lost_rasters/Amphibia_Boana cymbalum.tif
1 1 0.183 1 ../lost_rasters/Amphibia_Ptychohyla dendrophasma.tif
1 1 0.078 1 ../lost_rasters/Amphibia_Ecnomiohyla echinata.tif
1 1 0.25 1 ../lost_rasters/Amphibia_Hyloscirtus lynchi.tif
1 1 0.079 1 ../lost_rasters/Amphibia_Megastomatohyla mixe.tif
1 1 0.286 1 ../lost_rasters/Amphibia_Aplastodiscus musicus.tif
1 1 0.478 1 ../lost_rasters/Amphibia_Sarcohyla pachyderma.tif
1 1 0.244 1 ../lost_rasters/Amphibia_Hyloscirtus pantostictus.tif
1 1 0.172 1 ../lost_rasters/Amphibia_Sarcohyla psarosema.tif
