id,class,order,family,species,iucn,criteria,population,systems,realm
22679723,Aves,Anseriformes,Anhimidae,Anhima cornuta,LC,,Stable,Terrestrial|Freshwater (=Inland waters),Neotropical
22679726,Aves,Anseriformes,Anhimidae,Chauna chavaria,LC,,Stable,Freshwater (=Inland waters),Neotropical
22679729,Aves,Anseriformes,Anhimidae,Chauna torquata,LC,,Stable,Terrestrial|Freshwater (=Inland waters),Neotropical
22679732,Aves,Anseriformes,Anseranatidae,Anseranas semipalmata,LC,,Stable,Terrestrial|Freshwater (=Inland waters),Oceanian
22679735,Aves,Anseriformes,Anatidae,Dendrocygna guttata,LC,,Stable,Terrestrial|Freshwater (=Inland waters),Indomalayan|Oceanian
22679740,Aves,Anseriformes,Anatidae,Dendrocygna eytoni,LC,,Stable,Terrestrial|Freshwater (=Inland waters),Oceanian
22679746,Aves,Anseriformes,Anatidae,Dendrocygna bicolor,LC,,Decreasing,Terrestrial|Freshwater (=Inland waters),Afrotropical|Indomalayan|Nearctic|Neotropical
22679753,Aves,Anseriformes,Anatidae,Dendrocygna arcuata,LC,,Decreasing,Terrestrial|Freshwater (=Inland waters)|Marine,Indomalayan|Oceanian
22679758,Aves,Anseriformes,Anatidae,Dendrocygna javanica,LC,,Decreasing,Terrestrial|Freshwater (=Inland waters)|Marine,Indomalayan|Palearctic
22679763,Aves,Anseriformes,Anatidae,Dendrocygna viduata,LC,,Increasing,Terrestrial|Freshwater (=Inland waters),Afrotropical|Neotropical
