id_no,species,mean_gHM,median_gHM,source
58219,Amolops longimanus,0.24464791,0.21758987,dd_spp
152335940,Amolops mengdingensis,0.345188412,0.27479966,dd_spp
48102680,Amolops mengyangensis,0.366964358,0.341903493,lost_spp
48102680,Amolops mengyangensis,0.366964358,0.341903493,dd_spp
58223,Amolops nepalicus,0.462367728,0.462367728,dd_spp
202880,Amolops nidorbellus,0.446976911,0.428124711,dd_spp
152336041,Amolops shuichengicus,0.560703081,0.5735434,dd_spp
145404522,Amolops wenshanensis,0.372424278,0.329837427,dd_spp
172960,Amphiglossus andranovahensis,0.227930858,0.218975976,dd_spp
178376,Amphiglossus elongatus,0.222889594,0.213507317,dd_spp
172957,Amphiglossus gastrostictus,0.19753675,0.196260244,dd_spp
172738,Amphiglossus mandady,0.109016272,0.106135987,lost_spp
172738,Amphiglossus mandady,0.109016272,0.106135987,dd_spp
199770,Amphiglossus meva,0.146298536,0.160085931,dd_spp
172753,Amphiglossus spilostichus,0.171830526,0.171869814,lost_spp
172753,Amphiglossus spilostichus,0.171830526,0.171869814,dd_spp
172754,Amphiglossus stylus,0.125939498,0.106135987,lost_spp
172754,Amphiglossus stylus,0.125939498,0.106135987,dd_spp
136723,Amphinectomys savamis,0.073861862,0.076293588,dd_spp
176235,Amphisbaena absaberi,0.251293755,0.176089779,lost_spp
176235,Amphisbaena absaberi,0.251293755,0.176089779,dd_spp
75156645,Amphisbaena acrobeles,0.045655594,0.054257136,lost_spp
75158906,Amphisbaena arda,0.088073494,0.073831104,lost_spp
75158969,Amphisbaena arenaria,0.005692629,0,dd_spp
75159572,Amphisbaena brevis,0.15413127,0.136941537,lost_spp
75159572,Amphisbaena brevis,0.15413127,0.136941537,dd_spp
75159716,Amphisbaena caiari,0.132949389,0.102075357,dd_spp
74855383,Amphisbaena cayemite,0.524554189,0.567407608,lost_spp
29476,Amphisbaena crisae,0.287858547,0.235733569,dd_spp
56039170,Amphisbaena hiata,0.317595786,0.257801801,dd_spp
75160421,Amphisbaena ignatiana,0.14591444,0.080400668,dd_spp
74856459,Amphisbaena leali,0.72445844,0.724396467,lost_spp
56792080,Amphisbaena littoralis,0.741289496,0.741289496,dd_spp
75160871,Amphisbaena maranhensis,0.134791253,0.109306607,dd_spp
44550971,Amphisbaena medemi,0.477528435,0.288480401,dd_spp
66080021,Amphisbaena myersi,0.111562845,0.111543313,lost_spp
66080021,Amphisbaena myersi,0.111562845,0.111543313,dd_spp
176228,Amphisbaena neglecta,0.269833198,0.232333317,dd_spp
176229,Amphisbaena polygrammica,0.236068896,0.226523444,lost_spp
176229,Amphisbaena polygrammica,0.236068896,0.226523444,dd_spp
67606920,Amphisbaena rozei,0.021364094,0.021307361,lost_spp
67606920,Amphisbaena rozei,0.021364094,0.021307361,dd_spp
50956354,Amphisbaena slateri,0.101334347,0.095800698,dd_spp
203011,Amphisbaena spurrelli,0.172758842,0.177455828,dd_spp
