"rank" "mean.1" "weighted_mean.1" "min.1" "mean.2" "weighted_mean.2" "min.2" "mean.3" "weighted_mean.3" "min.3" "mean.4" "weighted_mean.4" "min.4" 
0.00687 1.0000 1.0000 1.0000 0.9997 0.9999 0.8740 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00697 1.0000 1.0000 1.0000 0.9997 0.9999 0.8722 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00707 1.0000 1.0000 1.0000 0.9997 0.9999 0.8704 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00717 1.0000 1.0000 1.0000 0.9997 0.9999 0.8686 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00727 1.0000 1.0000 1.0000 0.9997 0.9999 0.8668 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00736 1.0000 1.0000 1.0000 0.9997 0.9999 0.8650 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00746 1.0000 1.0000 1.0000 0.9997 0.9999 0.8632 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00756 1.0000 1.0000 1.0000 0.9997 0.9999 0.8614 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00766 1.0000 1.0000 1.0000 0.9997 0.9999 0.8596 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00776 1.0000 1.0000 1.0000 0.9996 0.9999 0.8578 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00786 1.0000 1.0000 1.0000 0.9996 0.9999 0.8560 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00795 1.0000 1.0000 1.0000 0.9996 0.9999 0.8542 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00805 1.0000 1.0000 1.0000 0.9996 0.9999 0.8524 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00815 1.0000 1.0000 1.0000 0.9996 0.9999 0.8506 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00825 1.0000 1.0000 1.0000 0.9996 0.9999 0.8488 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00835 1.0000 1.0000 1.0000 0.9996 0.9999 0.8470 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00845 1.0000 1.0000 1.0000 0.9996 0.9999 0.8452 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00854 1.0000 1.0000 1.0000 0.9996 0.9999 0.8434 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00864 1.0000 1.0000 1.0000 0.9996 0.9999 0.8416 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00874 1.0000 1.0000 1.0000 0.9996 0.9999 0.8398 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00884 1.0000 1.0000 1.0000 0.9996 0.9999 0.8380 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00894 1.0000 1.0000 1.0000 0.9996 0.9999 0.8362 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00903 1.0000 1.0000 1.0000 0.9996 0.9999 0.8344 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00913 1.0000 1.0000 1.0000 0.9996 0.9999 0.8326 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00923 1.0000 1.0000 1.0000 0.9996 0.9999 0.8308 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00933 1.0000 1.0000 1.0000 0.9996 0.9999 0.8290 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00943 1.0000 1.0000 1.0000 0.9996 0.9999 0.8272 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00953 1.0000 1.0000 1.0000 0.9996 0.9999 0.8254 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00962 1.0000 1.0000 1.0000 0.9996 0.9999 0.8236 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00972 1.0000 1.0000 1.0000 0.9996 0.9999 0.8218 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00982 1.0000 1.0000 1.0000 0.9996 0.9999 0.8200 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00992 1.0000 1.0000 1.0000 0.9995 0.9999 0.8182 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01002 1.0000 1.0000 1.0000 0.9995 0.9999 0.8164 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01011 1.0000 1.0000 1.0000 0.9995 0.9999 0.8146 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01021 1.0000 1.0000 1.0000 0.9995 0.9999 0.8128 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01031 1.0000 1.0000 1.0000 0.9995 0.9999 0.8110 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01041 1.0000 1.0000 1.0000 0.9995 0.9999 0.8092 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01051 1.0000 1.0000 1.0000 0.9995 0.9999 0.8074 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01061 1.0000 1.0000 1.0000 0.9995 0.9999 0.8056 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01070 1.0000 1.0000 1.0000 0.9995 0.9999 0.8038 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01080 1.0000 1.0000 1.0000 0.9995 0.9999 0.8020 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01090 1.0000 1.0000 1.0000 0.9995 0.9999 0.8002 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01100 1.0000 1.0000 1.0000 0.9995 0.9999 0.7984 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01110 1.0000 1.0000 1.0000 0.9995 0.9999 0.7966 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01119 1.0000 1.0000 1.0000 0.9995 0.9999 0.7948 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01129 1.0000 1.0000 1.0000 0.9995 0.9999 0.7930 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01139 1.0000 1.0000 1.0000 0.9995 0.9999 0.7912 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01149 1.0000 1.0000 1.0000 0.9995 0.9999 0.7894 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01159 1.0000 1.0000 1.0000 0.9995 0.9999 0.7876 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01169 1.0000 1.0000 1.0000 0.9995 0.9999 0.7858 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01178 1.0000 1.0000 1.0000 0.9995 0.9999 0.7840 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01188 1.0000 1.0000 1.0000 0.9995 0.9999 0.7822 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01198 1.0000 1.0000 1.0000 0.9995 0.9999 0.7804 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01208 1.0000 1.0000 1.0000 0.9995 0.9999 0.7786 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01218 1.0000 1.0000 1.0000 0.9994 0.9999 0.7768 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01227 1.0000 1.0000 1.0000 0.9994 0.9999 0.7750 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01237 1.0000 1.0000 1.0000 0.9994 0.9999 0.7732 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01247 1.0000 1.0000 1.0000 0.9994 0.9999 0.7714 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01257 1.0000 1.0000 1.0000 0.9994 0.9999 0.7696 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01267 1.0000 1.0000 1.0000 0.9994 0.9999 0.7678 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01277 1.0000 1.0000 1.0000 0.9994 0.9999 0.7660 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01286 1.0000 1.0000 1.0000 0.9994 0.9999 0.7642 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01296 1.0000 1.0000 1.0000 0.9994 0.9999 0.7624 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01306 1.0000 1.0000 1.0000 0.9994 0.9999 0.7606 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01316 1.0000 1.0000 1.0000 0.9994 0.9999 0.7588 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01326 1.0000 1.0000 1.0000 0.9994 0.9999 0.7570 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01336 1.0000 1.0000 1.0000 0.9994 0.9999 0.7552 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01345 1.0000 1.0000 1.0000 0.9994 0.9999 0.7534 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01355 1.0000 1.0000 1.0000 0.9994 0.9999 0.7516 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01365 1.0000 1.0000 1.0000 0.9994 0.9999 0.7498 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01375 1.0000 1.0000 1.0000 0.9994 0.9999 0.7480 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01385 1.0000 1.0000 1.0000 0.9994 0.9999 0.7462 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01394 1.0000 1.0000 1.0000 0.9994 0.9999 0.7444 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01404 1.0000 1.0000 1.0000 0.9994 0.9999 0.7426 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01414 1.0000 1.0000 1.0000 0.9994 0.9999 0.7408 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01424 1.0000 1.0000 1.0000 0.9994 0.9999 0.7390 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01434 1.0000 1.0000 1.0000 0.9993 0.9999 0.7372 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01444 1.0000 1.0000 1.0000 0.9993 0.9999 0.7354 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01453 1.0000 1.0000 1.0000 0.9993 0.9999 0.7336 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01463 1.0000 1.0000 1.0000 0.9993 0.9999 0.7318 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01473 1.0000 1.0000 1.0000 0.9993 0.9999 0.7300 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01483 1.0000 1.0000 1.0000 0.9993 0.9999 0.7282 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01493 1.0000 1.0000 1.0000 0.9993 0.9999 0.7264 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01502 1.0000 1.0000 1.0000 0.9993 0.9999 0.7246 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.01512 1.0000 1.0000 1.0000 0.9993 0.9999 0.7228 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 
