group weight wgrp filename
4 0.165 4 ../dd_rasters/Mammalia_Galenomys_garleppi.tif
4 0.296 4 ../dd_rasters/Mammalia_Genetta_abyssinica.tif
4 0.208 4 ../dd_rasters/Mammalia_Gerbillus_acticola.tif
4 0.139 4 ../dd_rasters/Mammalia_Gerbillus_muriculus.tif
4 0.142 4 ../dd_rasters/Mammalia_Gerbillus_nancillus.tif
4 0.707 4 ../dd_rasters/Mammalia_Gerbillus_bottai.tif
4 0.213 4 ../dd_rasters/Mammalia_Gerbillus_brockmani.tif
4 0.155 4 ../dd_rasters/Mammalia_Gerbillus_cosensis.tif
4 0.207 4 ../dd_rasters/Mammalia_Gerbillus_grobbeni.tif
4 0.391 4 ../dd_rasters/Mammalia_Gerbillus_jamesi.tif
4 0.114 4 ../dd_rasters/Mammalia_Gerbillus_latastei.tif
4 0.219 4 ../dd_rasters/Mammalia_Gerbillus_lowei.tif
4 0.028 4 ../dd_rasters/Mammalia_Gerbillus_occiduus.tif
4 0.037 4 ../dd_rasters/Mammalia_Gerbillus_principulus.tif
4 0.203 4 ../dd_rasters/Mammalia_Gerbillus_somalicus.tif
4 0.516 4 ../dd_rasters/Mammalia_Gerbillus_stigmonyx.tif
4 0.546 4 ../dd_rasters/Mammalia_Glischropus_javanus.tif
4 0.153 4 ../dd_rasters/Mammalia_Glyphotes_simus.tif
4 0.093 4 ../dd_rasters/Mammalia_Gracilinanus_emiliae.tif
4 0.256 4 ../dd_rasters/Mammalia_Grammomys_aridulus.tif
4 0.232 4 ../dd_rasters/Mammalia_Grammomys_buntingi.tif
4 0.254 4 ../dd_rasters/Mammalia_Grammomys_caniceps.tif
4 0.125 4 ../dd_rasters/Mammalia_Graomys_edithae.tif
4 0.324 4 ../dd_rasters/Mammalia_Graphiurus_crassicaudatus.tif
4 0.119 4 ../dd_rasters/Mammalia_Graphiurus_monardi.tif
4 0.126 4 ../dd_rasters/Mammalia_Graphiurus_surdus.tif
4 0.17 4 ../dd_rasters/Mammalia_Haeromys_margarettae.tif
4 0.301 4 ../dd_rasters/Mammalia_Heliosciurus_punctatus.tif
4 0.216 4 ../dd_rasters/Mammalia_Heliosciurus_undulatus.tif
4 0.181 4 ../dd_rasters/Mammalia_Hesperoptenus_doriae.tif
4 0.124 4 ../dd_rasters/Mammalia_Hesperoptenus_gaskelli.tif
4 0.134 4 ../dd_rasters/Mammalia_Hipposideros_breviceps.tif
4 0.734 4 ../dd_rasters/Mammalia_Doryrhina_camerunensis.tif
4 0.213 4 ../dd_rasters/Mammalia_Hipposideros_coronatus.tif
4 0.443 4 ../dd_rasters/Mammalia_Hipposideros_crumeniferus.tif
4 0.187 4 ../dd_rasters/Mammalia_Hipposideros_inexpectatus.tif
4 0.226 4 ../dd_rasters/Mammalia_Hipposideros_macrobullatus.tif
4 0.902 4 ../dd_rasters/Mammalia_Hipposideros_nequam.tif
4 0.349 4 ../dd_rasters/Mammalia_Histiotus_alienus.tif
4 0.176 4 ../dd_rasters/Mammalia_Histiotus_velatus.tif
4 0.151 4 ../dd_rasters/Mammalia_Baiyankamys_habbema.tif
4 0.189 4 ../dd_rasters/Mammalia_Hydromys_hussoni.tif
4 0.082 4 ../dd_rasters/Mammalia_Hydromys_neobritannicus.tif
1 0.127 1 ../dd_rasters/Amphibia_Bokermannohyla_langei.tif
4 0.275 4 ../dd_rasters/Mammalia_Hylopetes_bartelsi.tif
4 0.388 4 ../dd_rasters/Mammalia_Hylopetes_winstoni.tif
4 0.144 4 ../dd_rasters/Mammalia_Hyomys_dammermani.tif
4 0.208 4 ../dd_rasters/Mammalia_Ichthyomys_stolzmanni.tif
4 0.306 4 ../dd_rasters/Mammalia_Ichthyomys_tweedii.tif
2 0.23 2 ../dd_rasters/Reptilia_Iguanognathus_werneri.tif
4 0.12 4 ../dd_rasters/Mammalia_Kerivoula_cuprosa.tif
4 0.294 4 ../dd_rasters/Mammalia_Kerivoula_eriophora.tif
4 0.123 4 ../dd_rasters/Mammalia_Laephotis_angolensis.tif
4 0.05 4 ../dd_rasters/Mammalia_Lagidium_wolffsohni.tif
4 0.232 4 ../dd_rasters/Mammalia_Lariscus_niobe.tif
4 0.108 4 ../dd_rasters/Mammalia_Lasiurus_castaneus.tif
4 0.017 4 ../dd_rasters/Mammalia_Lasiurus_ebenus.tif
4 0.169 4 ../dd_rasters/Mammalia_Lasiurus_egregius.tif
