"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.07700 0.0223 0.0096
0.07710 0.0211 0.0102
0.07720 0.0223 0.0096
0.07730 0.0211 0.0108
0.07739 0.0271 0.0096
0.07749 0.0211 0.0102
0.07759 0.0223 0.0096
0.07769 0.0217 0.0108
0.07779 0.0217 0.0096
0.07789 0.0211 0.0108
0.07799 0.0223 0.0102
0.07809 0.0211 0.0096
0.07819 0.0223 0.0096
0.07829 0.0217 0.0108
0.07839 0.0211 0.0102
0.07848 0.0217 0.0096
0.07858 0.0211 0.0108
0.07868 0.0223 0.0108
0.07878 0.0217 0.0096
0.07888 0.0223 0.0096
0.07898 0.0211 0.0102
0.07908 0.0217 0.0108
0.07918 0.0217 0.0096
0.07928 0.0223 0.0096
0.07938 0.0211 0.0102
0.07948 0.0211 0.0108
0.07957 0.0223 0.0096
0.07967 0.0211 0.0096
0.07977 0.0223 0.0108
0.07987 0.0211 0.0102
0.07997 0.0223 0.0096
0.08007 0.0217 0.0096
0.08017 0.0217 0.0114
0.08027 0.0211 0.0096
0.08037 0.0223 0.0108
0.08047 0.0217 0.0096
0.08057 0.0217 0.0108
0.08067 0.0211 0.0096
0.08076 0.0223 0.0096
0.08086 0.0217 0.0102
0.08096 0.0217 0.0108
0.08106 0.0211 0.0096
0.08116 0.0217 0.0102
0.08126 0.0223 0.0096
0.08136 0.0223 0.0108
0.08146 0.0211 0.0096
0.08156 0.0211 0.0096
0.08166 0.0223 0.0114
0.08176 0.0211 0.0096
0.08185 0.0223 0.0108
0.08195 0.0211 0.0096
0.08205 0.0223 0.0102
0.08215 0.0211 0.0096
0.08225 0.0355 0.0120
0.08235 0.0445 0.0096
0.08245 0.0445 0.0114
0.08255 0.0439 0.0102
0.08265 0.0451 0.0108
0.08275 0.0445 0.0114
0.08285 0.0487 0.0108
0.08294 0.0451 0.0102
0.08304 0.0439 0.0120
0.08314 0.0439 0.0102
0.08324 0.0439 0.0108
0.08334 0.0457 0.0114
0.08344 0.0439 0.0108
0.08354 0.0445 0.0102
0.08364 0.0493 0.0114
0.08374 0.0439 0.0096
0.08384 0.0445 0.0120
0.08394 0.0445 0.0114
0.08403 0.0439 0.0096
0.08413 0.0547 0.0114
0.08423 0.0571 0.0132
0.08433 0.0583 0.0120
0.08443 0.0565 0.0114
0.08453 0.0565 0.0114
0.08463 0.0565 0.0114
0.08473 0.0589 0.0114
0.08483 0.0559 0.0120
0.08493 0.0577 0.0120
0.08503 0.0559 0.0126
0.08512 0.0638 0.0114
0.08522 0.0565 0.0120
0.08532 0.0565 0.0114
0.08542 0.0589 0.0126
