"number" "dsum" "count" "missing" "quant_error" "fname"
93 6.0 6 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_mandingues.tif"
94 4.0 4 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_minutulus.tif"
95 6.0 6 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_monohernandezii.tif"
96 2.0 2 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_mucubajiensis.tif"
97 9.0 9 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_muisca.tif"
98 11.0 11 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_nicefori.tif"
99 2.0 2 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_onorei.tif"
100 3.0 3 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_orcesi.tif"
101 39.0 39 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_oxyrhynchus.tif"
102 210.0 210 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_pachydermus.tif"
103 19.0 19 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_palmatus.tif"
104 186.0 186 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_pastuso.tif"
105 2.0 2 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_pedimarmoratus.tif"
106 1053.0 1053 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_peruensis.tif"
107 40.0 40 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_petersi.tif"
108 14.0 14 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_petriruizi.tif"
109 4.0 4 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_pictiventris.tif"
110 6.0 6 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_pinangoi.tif"
111 33.0 33 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_planispina.tif"
112 117.0 117 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_podocarpus.tif"
113 4.0 4 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_pyrodactylus.tif"
114 8.0 8 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_quimbaya.tif"
115 4.0 4 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_reticulatus.tif"
116 8.0 8 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_sanjosei.tif"
117 29.0 29 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_sernai.tif"
118 61.0 61 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_simulatus.tif"
119 2.0 2 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_siranus.tif"
120 23.0 23 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_sonsonensis.tif"
121 2.0 2 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_sorianoi.tif"
122 43.0 43 21566491 0.0 "C:\Users\Usuario\Desktop\JP\priorityRediscovery\setup\lost_rasters\Amphibia_Atelopus_subornatus.tif"
